created_at,id,solar_body,datum_name,ellipsoid_name,projection_name,wkt
2025-09-09,IAU:2015:19900,Mercury,Mercury (2015) - Sphere,Mercury (2015) - Sphere,No projection,"GEOGCRS[""Mercury (2015) - Sphere "",  DATUM[""Mercury (2015) - Sphere"",  ELLIPSOID[""Mercury (2015) - Sphere"", 2440530, 0,  LENGTHUNIT[""metre"", 1, ID[""EPSG"", 9001]]],  ANCHOR[""Hun Kal : 20 W""]],  PRIMEM[""Reference Meridian"", 0,  ANGLEUNIT[""degree"", 0.0174532925199433, ID[""EPSG"", 9122]]], 	CS[ellipsoidal, 2],  AXIS[""geodetic latitude (Lat)"", north,  ORDER[1],  ANGLEUNIT[""degree"", 0.0174532925199433]],  AXIS[""geodetic longitude (Lon)"", east,  ORDER[2],  ANGLEUNIT[""degree"", 0.0174532925199433]], 	ID[""IAU"", 19900, 2015], 	REMARK[""Use semi-major radius as sphere radius for interoperability. Source of IAU Coordinate systems: doi:10.1007/s10569-017-9805-5""]]"
2025-09-09,IAU:2015:19902,Mercury,Mercury (2015),Mercury (2015),No projection,"GEODCRS[""Mercury (2015) / Ocentric"",  DATUM[""Mercury (2015)"",  ELLIPSOID[""Mercury (2015)"", 2440530, 1075.123348017621,  LENGTHUNIT[""metre"", 1, ID[""EPSG"", 9001]]],  ANCHOR[""Hun Kal : 20 W""]],  PRIMEM[""Reference Meridian"", 0,  ANGLEUNIT[""degree"", 0.0174532925199433, ID[""EPSG"", 9122]]], 	CS[spherical, 2],  AXIS[""planetocentric latitude (U)"", north,  ORDER[1],  ANGLEUNIT[""degree"", 0.0174532925199433]],  AXIS[""planetocentric longitude (V)"", east,  ORDER[2],  ANGLEUNIT[""degree"", 0.0174532925199433]], 	ID[""IAU"", 19902, 2015], 	REMARK[""Source of IAU Coordinate systems: doi:10.1007/s10569-017-9805-5""]]"
2025-09-09,IAU:2015:19901,Mercury,Mercury (2015),Mercury (2015),No projection,"GEOGCRS[""Mercury (2015) / Ographic"",  DATUM[""Mercury (2015)"",  ELLIPSOID[""Mercury (2015)"", 2440530, 1075.123348017621,  LENGTHUNIT[""metre"", 1, ID[""EPSG"", 9001]]],  ANCHOR[""Hun Kal : 20 W""]],  PRIMEM[""Reference Meridian"", 0,  ANGLEUNIT[""degree"", 0.0174532925199433, ID[""EPSG"", 9122]]], 	CS[ellipsoidal, 2],  AXIS[""geodetic latitude (Lat)"", north,  ORDER[1],  ANGLEUNIT[""degree"", 0.0174532925199433]],  AXIS[""geodetic longitude (Lon)"", west,  ORDER[2],  ANGLEUNIT[""degree"", 0.0174532925199433]], 	ID[""IAU"", 19901, 2015], 	REMARK[""Source of IAU Coordinate systems: doi:10.1007/s10569-017-9805-5""]]"
2025-09-09,IAU:2015:19910,Mercury,Mercury (2015) - Sphere,Mercury (2015) - Sphere,"Mercury (2015) - Sphere / Equirectangular, clon = 0","PROJCRS[""Mercury (2015) - Sphere / Equirectangular, clon = 0"",  BASEGEOGCRS[""Mercury (2015) - Sphere"",  DATUM[""Mercury (2015) - Sphere"",  ELLIPSOID[""Mercury (2015) - Sphere"", 2440530, 0,  LENGTHUNIT[""metre"", 1, ID[""EPSG"", 9001]]],  ANCHOR[""Hun Kal : 20 W""]],  PRIMEM[""Reference Meridian"", 0,  ANGLEUNIT[""degree"", 0.0174532925199433, ID[""EPSG"", 9122]]],  ID[""IAU"", 19900, 2015]],  CONVERSION[""Equirectangular, clon = 0"",  METHOD[""Equidistant Cylindrical"",  ID[""EPSG"", 1028]],  PARAMETER[""Latitude of 1st standard parallel"", 0,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8823]],  PARAMETER[""Longitude of natural origin"", 0,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8802]],  PARAMETER[""False easting"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8806]],  PARAMETER[""False northing"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8807]]],  CS[Cartesian, 2],  AXIS[""Easting (E)"", east,  ORDER[1],  LENGTHUNIT[""metre"", 1]],  AXIS[""Northing (N)"", north,  ORDER[2],  LENGTHUNIT[""metre"", 1]],  ID[""IAU"", 19910, 2015]]"
2025-09-09,IAU:2015:19915,Mercury,Mercury (2015) - Sphere,Mercury (2015) - Sphere,"Mercury (2015) - Sphere / Equirectangular, clon = 180","PROJCRS[""Mercury (2015) - Sphere / Equirectangular, clon = 180"",  BASEGEOGCRS[""Mercury (2015) - Sphere"",  DATUM[""Mercury (2015) - Sphere"",  ELLIPSOID[""Mercury (2015) - Sphere"", 2440530, 0,  LENGTHUNIT[""metre"", 1, ID[""EPSG"", 9001]]],  ANCHOR[""Hun Kal : 20 W""]],  PRIMEM[""Reference Meridian"", 0,  ANGLEUNIT[""degree"", 0.0174532925199433, ID[""EPSG"", 9122]]],  ID[""IAU"", 19900, 2015]],  CONVERSION[""Equirectangular, clon = 180"",  METHOD[""Equidistant Cylindrical"",  ID[""EPSG"", 1028]],  PARAMETER[""Latitude of 1st standard parallel"", 0,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8823]],  PARAMETER[""Longitude of natural origin"", 180,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8802]],  PARAMETER[""False easting"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8806]],  PARAMETER[""False northing"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8807]]],  CS[Cartesian, 2],  AXIS[""Easting (E)"", east,  ORDER[1],  LENGTHUNIT[""metre"", 1]],  AXIS[""Northing (N)"", north,  ORDER[2],  LENGTHUNIT[""metre"", 1]],  ID[""IAU"", 19915, 2015]]"
2025-09-09,IAU:2015:19920,Mercury,Mercury (2015) - Sphere,Mercury (2015) - Sphere,"Mercury (2015) - Sphere / Sinusoidal, clon = 0","PROJCRS[""Mercury (2015) - Sphere / Sinusoidal, clon = 0"",  BASEGEOGCRS[""Mercury (2015) - Sphere"",  DATUM[""Mercury (2015) - Sphere"",  ELLIPSOID[""Mercury (2015) - Sphere"", 2440530, 0,  LENGTHUNIT[""metre"", 1, ID[""EPSG"", 9001]]],  ANCHOR[""Hun Kal : 20 W""]],  PRIMEM[""Reference Meridian"", 0,  ANGLEUNIT[""degree"", 0.0174532925199433, ID[""EPSG"", 9122]]],  ID[""IAU"", 19900, 2015]],  CONVERSION[""Sinusoidal, clon = 0"",  METHOD[""Sinusoidal"",  ID[""PROJ"", ""SINUSOIDAL""]],  PARAMETER[""Longitude of natural origin"", 0,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8802]],  PARAMETER[""False easting"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8806]],  PARAMETER[""False northing"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8807]]],  CS[Cartesian, 2],  AXIS[""Easting (E)"", east,  ORDER[1],  LENGTHUNIT[""metre"", 1]],  AXIS[""Northing (N)"", north,  ORDER[2],  LENGTHUNIT[""metre"", 1]],  ID[""IAU"", 19920, 2015]]"
2025-09-09,IAU:2015:19925,Mercury,Mercury (2015) - Sphere,Mercury (2015) - Sphere,"Mercury (2015) - Sphere / Sinusoidal, clon = 180","PROJCRS[""Mercury (2015) - Sphere / Sinusoidal, clon = 180"",  BASEGEOGCRS[""Mercury (2015) - Sphere"",  DATUM[""Mercury (2015) - Sphere"",  ELLIPSOID[""Mercury (2015) - Sphere"", 2440530, 0,  LENGTHUNIT[""metre"", 1, ID[""EPSG"", 9001]]],  ANCHOR[""Hun Kal : 20 W""]],  PRIMEM[""Reference Meridian"", 0,  ANGLEUNIT[""degree"", 0.0174532925199433, ID[""EPSG"", 9122]]],  ID[""IAU"", 19900, 2015]],  CONVERSION[""Sinusoidal, clon = 180"",  METHOD[""Sinusoidal"",  ID[""PROJ"", ""SINUSOIDAL""]],  PARAMETER[""Longitude of natural origin"", 180,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8802]],  PARAMETER[""False easting"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8806]],  PARAMETER[""False northing"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8807]]],  CS[Cartesian, 2],  AXIS[""Easting (E)"", east,  ORDER[1],  LENGTHUNIT[""metre"", 1]],  AXIS[""Northing (N)"", north,  ORDER[2],  LENGTHUNIT[""metre"", 1]],  ID[""IAU"", 19925, 2015]]"
2025-09-09,IAU:2015:19930,Mercury,Mercury (2015) - Sphere,Mercury (2015) - Sphere,Mercury (2015) - Sphere / North Polar,"PROJCRS[""Mercury (2015) - Sphere / North Polar"",  BASEGEOGCRS[""Mercury (2015) - Sphere"",  DATUM[""Mercury (2015) - Sphere"",  ELLIPSOID[""Mercury (2015) - Sphere"", 2440530, 0,  LENGTHUNIT[""metre"", 1, ID[""EPSG"", 9001]]],  ANCHOR[""Hun Kal : 20 W""]],  PRIMEM[""Reference Meridian"", 0,  ANGLEUNIT[""degree"", 0.0174532925199433, ID[""EPSG"", 9122]]],  ID[""IAU"", 19900, 2015]],  CONVERSION[""North Polar"",  METHOD[""Polar Stereographic (variant A)"",  ID[""EPSG"", 9810]],  PARAMETER[""Latitude of natural origin"", 90,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8801]],  PARAMETER[""Longitude of natural origin"", 0,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8802]],  PARAMETER[""Scale factor at natural origin"", 1,  SCALEUNIT[""unity"",1,ID[""EPSG"", 9201]],  ID[""EPSG"", 8805]],  PARAMETER[""False easting"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8806]],  PARAMETER[""False northing"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8807]]],  CS[Cartesian, 2],  AXIS[""Easting (E)"", east,  ORDER[1],  LENGTHUNIT[""metre"", 1]],  AXIS[""Northing (N)"", north,  ORDER[2],  LENGTHUNIT[""metre"", 1]],  ID[""IAU"", 19930, 2015]]"
2025-09-09,IAU:2015:19935,Mercury,Mercury (2015) - Sphere,Mercury (2015) - Sphere,Mercury (2015) - Sphere / South Polar,"PROJCRS[""Mercury (2015) - Sphere / South Polar"",  BASEGEOGCRS[""Mercury (2015) - Sphere"",  DATUM[""Mercury (2015) - Sphere"",  ELLIPSOID[""Mercury (2015) - Sphere"", 2440530, 0,  LENGTHUNIT[""metre"", 1, ID[""EPSG"", 9001]]],  ANCHOR[""Hun Kal : 20 W""]],  PRIMEM[""Reference Meridian"", 0,  ANGLEUNIT[""degree"", 0.0174532925199433, ID[""EPSG"", 9122]]],  ID[""IAU"", 19900, 2015]],  CONVERSION[""South Polar"",  METHOD[""Polar Stereographic (variant A)"",  ID[""EPSG"", 9810]],  PARAMETER[""Latitude of natural origin"", -90,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8801]],  PARAMETER[""Longitude of natural origin"", 0,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8802]],  PARAMETER[""Scale factor at natural origin"", 1,  SCALEUNIT[""unity"",1,ID[""EPSG"", 9201]],  ID[""EPSG"", 8805]],  PARAMETER[""False easting"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8806]],  PARAMETER[""False northing"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8807]]],  CS[Cartesian, 2],  AXIS[""Easting (E)"", east,  ORDER[1],  LENGTHUNIT[""metre"", 1]],  AXIS[""Northing (N)"", north,  ORDER[2],  LENGTHUNIT[""metre"", 1]],  ID[""IAU"", 19935, 2015]]"
2025-09-09,IAU:2015:19940,Mercury,Mercury (2015) - Sphere,Mercury (2015) - Sphere,"Mercury (2015) - Sphere / Mollweide, clon = 0","PROJCRS[""Mercury (2015) - Sphere / Mollweide, clon = 0"",  BASEGEOGCRS[""Mercury (2015) - Sphere"",  DATUM[""Mercury (2015) - Sphere"",  ELLIPSOID[""Mercury (2015) - Sphere"", 2440530, 0,  LENGTHUNIT[""metre"", 1, ID[""EPSG"", 9001]]],  ANCHOR[""Hun Kal : 20 W""]],  PRIMEM[""Reference Meridian"", 0,  ANGLEUNIT[""degree"", 0.0174532925199433, ID[""EPSG"", 9122]]],  ID[""IAU"", 19900, 2015]],  CONVERSION[""Mollweide, clon = 0"",  METHOD[""Mollweide"",  ID[""PROJ"", ""MOLLWEIDE""]],  PARAMETER[""Longitude of natural origin"", 0,  ANGLEUNIT[""degree"",0.0174532925199433,ID[""EPSG"", 9122]],  ID[""EPSG"", 8802]],  PARAMETER[""False easting"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8806]],  PARAMETER[""False northing"", 0,  LENGTHUNIT[""metre"",1,ID[""EPSG"", 9001]],  ID[""EPSG"", 8807]]],  CS[Cartesian, 2],  AXIS[""Easting (E)"", east,  ORDER[1],  LENGTHUNIT[""metre"", 1]],  AXIS[""Northing (N)"", north,  ORDER[2],  LENGTHUNIT[""metre"", 1]],  ID[""IAU"", 19940, 2015]]"
